$M;R3101;X2;X4;X3;X5;X6;X7;X8;X1;X9;$M;RNINO12;X1;X2;X3;$M;RNINO3;X2;X3;X1;$M;RNINO4;X2;X3;X1;$M;RNINO34;X2;X3;X1;$M;RSOI;X2;X1;X3
1;$M;9;0.213;0.18;0.15;0.145;0.066;0.005;0.005;0.235;0;$M;3;0.167;0.833;0;$M;3;0.833;0;0.167;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.75;0;0.25
2;$M;9;0.301;0.142;0.192;0.044;0.005;0;0;0.315;0;$M;3;0;0.25;0.75;$M;3;0.25;0.75;0;$M;3;0.917;0.083;0;$M;3;0.333;0.667;0;$M;3;0.333;0.667;0
3;$M;9;0.156;0.121;0.203;0.123;0.066;0.022;0.008;0.301;0;$M;3;0.667;0.333;0;$M;3;0.25;0;0.75;$M;3;0.583;0;0.417;$M;3;0.25;0;0.75;$M;3;0.417;0;0.583
4;$M;9;0.126;0.151;0.216;0.11;0.066;0.011;0;0.321;0;$M;3;0.167;0.833;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.667;0;0.333
5;$M;9;0.137;0.139;0.183;0.139;0.104;0.016;0.003;0.279;0;$M;3;0.417;0.583;0;$M;3;0.417;0;0.583;$M;3;0.333;0;0.667;$M;3;0.333;0;0.667;$M;3;0.167;0;0.833
6;$M;9;0.255;0.06;0.23;0.036;0.008;0;0;0.411;0;$M;3;0;0.667;0.333;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.583;0.333;0.083
7;$M;9;0.285;0.142;0.099;0.033;0.011;0;0;0.43;0;$M;3;0;1;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.333;0.667;0
8;$M;9;0.252;0.148;0.186;0.093;0.005;0.005;0;0.31;0;$M;3;0;1;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.917;0;0.083
9;$M;9;0.202;0.148;0.186;0.123;0.055;0.022;0.005;0.26;0;$M;3;0;1;0;$M;3;0.917;0.083;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.667;0.25;0.083
10;$M;9;0.208;0.164;0.312;0.068;0.005;0;0;0.241;0;$M;3;0.083;0.917;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.917;0.083;0
11;$M;9;0.159;0.247;0.159;0.164;0.041;0.022;0;0.208;0;$M;3;0.083;0.917;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.833;0;0.167
12;$M;9;0.184;0.184;0.189;0.079;0.019;0;0;0.345;0;$M;3;0;0.333;0.667;$M;3;0.167;0.833;0;$M;3;0.917;0.083;0;$M;3;0.083;0.917;0;$M;3;0.083;0.917;0
13;$M;9;0.336;0.087;0.199;0.109;0.019;0.003;0;0.246;0;$M;3;0;0.583;0.417;$M;3;0.75;0.25;0;$M;3;1;0;0;$M;3;0.917;0.083;0;$M;3;0.917;0;0.083
14;$M;9;0.186;0.14;0.2;0.11;0.049;0.008;0.003;0.304;0;$M;3;0.333;0.667;0;$M;3;0.75;0;0.25;$M;3;1;0;0;$M;3;0.667;0;0.333;$M;3;0.833;0;0.167
15;$M;9;0.181;0.192;0.214;0.093;0.008;0.008;0.005;0.299;0;$M;3;0.417;0.583;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.917;0.083;0
16;$M;9;0.216;0.099;0.227;0.049;0.022;0.005;0.008;0.373;0;$M;3;0;0.75;0.25;$M;3;0.667;0.333;0;$M;3;0.917;0.083;0;$M;3;0.5;0.5;0;$M;3;0.5;0.5;0
17;$M;9;0.175;0.191;0.243;0.057;0;0;0;0.333;0;$M;3;0;0.667;0.333;$M;3;0.333;0.667;0;$M;3;0.667;0.333;0;$M;3;0.417;0.583;0;$M;3;0.583;0.417;0
18;$M;9;0.145;0.096;0.132;0.148;0.115;0.005;0.014;0.342;0.003;$M;3;0.5;0.5;0;$M;3;0.167;0;0.833;$M;3;0.5;0;0.5;$M;3;0;0;1;$M;3;0.25;0;0.75
19;$M;9;0.205;0.197;0.225;0.088;0;0;0;0.285;0;$M;3;0.083;0.917;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.75;0.167;0.083
20;$M;9;0.247;0.074;0.282;0.068;0.041;0;0;0.288;0;$M;3;0;1;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.75;0.167;0.083
21;$M;9;0.24;0.093;0.235;0.077;0.008;0;0;0.347;0;$M;3;0;0.833;0.167;$M;3;0.5;0.5;0;$M;3;0.583;0.417;0;$M;3;0.417;0.583;0;$M;3;0.333;0.667;0
22;$M;9;0.334;0.104;0.178;0.016;0.003;0;0;0.364;0;$M;3;0;0.833;0.167;$M;3;0.833;0.167;0;$M;3;1;0;0;$M;3;0.917;0.083;0;$M;3;0.5;0.5;0
23;$M;9;0.159;0.181;0.208;0.101;0.019;0;0.003;0.329;0;$M;3;0.083;0.917;0;$M;3;0.917;0.083;0;$M;3;1;0;0;$M;3;0.917;0.083;0;$M;3;0.5;0.5;0
24;$M;9;0.304;0.11;0.175;0.071;0.011;0;0;0.329;0;$M;3;0.167;0.833;0;$M;3;1;0;0;$M;3;0.5;0.5;0;$M;3;0.75;0.25;0;$M;3;0.417;0.583;0
25;$M;9;0.205;0.104;0.175;0.128;0.093;0.025;0;0.27;0;$M;3;0.167;0.833;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.917;0;0.083
26;$M;9;0.167;0.175;0.126;0.167;0.077;0.022;0.008;0.255;0.003;$M;3;0.583;0.333;0.083;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.75;0.083;0.167
27;$M;9;0.222;0.148;0.148;0.096;0.027;0.003;0;0.356;0;$M;3;0;0;1;$M;3;0;1;0;$M;3;0.833;0.167;0;$M;3;0.167;0.833;0;$M;3;0;1;0
28;$M;9;0.238;0.162;0.148;0.159;0.071;0.036;0.011;0.175;0;$M;3;0.083;0.667;0.25;$M;3;0.75;0.083;0.167;$M;3;0.417;0;0.583;$M;3;0.333;0;0.667;$M;3;0.333;0;0.667
29;$M;9;0.172;0.15;0.139;0.101;0.15;0.071;0.003;0.213;0;$M;3;0.5;0.5;0;$M;3;0.5;0;0.5;$M;3;0.583;0;0.417;$M;3;0.5;0;0.5;$M;3;0.583;0;0.417
30;$M;9;0.159;0.156;0.203;0.09;0.071;0.03;0.003;0.288;0;$M;3;0.167;0.75;0.083;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.583;0;0.417
31;$M;9;0.236;0.121;0.162;0.09;0.058;0.014;0.008;0.312;0;$M;3;0.333;0.5;0.167;$M;3;1;0;0;$M;3;1;0;0;$M;3;1;0;0;$M;3;0.833;0.167;0
32;$M;9;0.216;0.085;0.142;0.134;0.074;0.016;0;0.332;0;$M;3;0.083;0.917;0;$M;3;0.833;0.167;0;$M;3;0.583;0.417;0;$M;3;0.5;0.5;0;$M;3;0.583;0.417;0
